epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,107.082,1.46813,0.94838,0.87347,0.76948,0.70895,0.7862,0.40546,1.54853,0.9514,0.83484,0.002228,0.002228,0.002228
44,109.58,1.354,0.9909,0.85431,0.758,0.72566,0.78544,0.40766,1.45943,0.96747,0.82267,0.002162,0.002162,0.002162
45,112.096,1.41941,0.99955,0.85092,0.79185,0.84164,0.86318,0.41025,1.48083,0.99399,0.82842,0.002096,0.002096,0.002096
46,114.61,1.3622,0.96088,0.88489,0.80296,0.75736,0.82293,0.39293,1.48208,0.97222,0.82743,0.00203,0.00203,0.00203
47,117.11,1.43367,1.00578,0.90314,0.80741,0.68142,0.77932,0.36822,1.53915,1.01041,0.83707,0.001964,0.001964,0.001964
48,119.527,1.36187,0.96036,0.86998,0.8517,0.69912,0.78564,0.39846,1.52609,0.94446,0.82337,0.001898,0.001898,0.001898
49,121.955,1.32499,0.89104,0.88272,0.83988,0.78915,0.85696,0.43273,1.43579,0.93204,0.82284,0.001832,0.001832,0.001832
50,124.454,1.29125,0.91549,0.88112,0.80526,0.81416,0.86513,0.47586,1.3335,0.8991,0.82213,0.001766,0.001766,0.001766
51,126.997,1.30293,0.92396,0.87295,0.80899,0.78761,0.8407,0.4714,1.36969,0.90489,0.81787,0.0017,0.0017,0.0017
52,129.51,1.32163,0.93925,0.83641,0.76335,0.82785,0.84293,0.45343,1.3355,0.87875,0.81513,0.001634,0.001634,0.001634
53,131.977,1.33779,0.93237,0.85654,0.85785,0.79646,0.86478,0.43231,1.37329,0.87425,0.81486,0.001568,0.001568,0.001568
54,134.383,1.23891,0.87547,0.88555,0.83534,0.76991,0.83655,0.42972,1.39168,0.87563,0.81861,0.001502,0.001502,0.001502
55,136.792,1.31498,0.86958,0.85224,0.8034,0.7956,0.81942,0.41023,1.44449,0.87561,0.81603,0.001436,0.001436,0.001436
56,139.25,1.28866,0.88484,0.8571,0.81629,0.83186,0.83694,0.42547,1.42924,0.83534,0.82366,0.00137,0.00137,0.00137
57,141.754,1.2323,0.82185,0.84519,0.86282,0.78761,0.86087,0.42986,1.38103,0.87981,0.80819,0.001304,0.001304,0.001304
58,144.201,1.21287,0.84363,0.83995,0.79675,0.78761,0.83385,0.44063,1.40187,0.89403,0.80974,0.001238,0.001238,0.001238
59,146.619,1.2354,0.87074,0.84136,0.85505,0.84071,0.86818,0.46937,1.37109,0.8602,0.80588,0.001172,0.001172,0.001172
60,149.048,1.22835,0.8636,0.85634,0.88792,0.84131,0.88855,0.47701,1.34877,0.85062,0.80376,0.001106,0.001106,0.001106
61,151.591,1.07682,0.76525,0.81149,0.88031,0.84071,0.89501,0.49907,1.31376,0.84151,0.8063,0.00104,0.00104,0.00104
62,154.247,1.21558,0.84881,0.82916,0.89557,0.81416,0.89188,0.48,1.36512,0.81125,0.81238,0.000974,0.000974,0.000974
63,156.659,1.21057,0.82929,0.84619,0.86555,0.82301,0.89132,0.47597,1.34546,0.81849,0.81003,0.000908,0.000908,0.000908
64,159.062,1.16052,0.83462,0.85858,0.86676,0.86356,0.89234,0.46465,1.41887,0.83113,0.80449,0.000842,0.000842,0.000842
65,161.468,1.15032,0.79273,0.86094,0.84632,0.84071,0.87491,0.48333,1.367,0.80149,0.8106,0.000776,0.000776,0.000776
66,164.35,1.11108,0.83164,0.83766,0.82643,0.81416,0.84903,0.46149,1.34391,0.8192,0.80716,0.00071,0.00071,0.00071
67,166.845,1.10413,0.88469,0.8131,0.82221,0.78761,0.81917,0.46299,1.32964,0.79085,0.81248,0.000644,0.000644,0.000644
68,169.333,1.15643,0.81016,0.83539,0.88504,0.81762,0.89718,0.49105,1.32613,0.76064,0.8099,0.000578,0.000578,0.000578
69,171.666,1.06309,0.79672,0.84201,0.87822,0.84956,0.8987,0.50896,1.32341,0.76991,0.80534,0.000512,0.000512,0.000512
70,174.174,1.06705,0.78748,0.83699,0.88463,0.84071,0.89103,0.49347,1.33704,0.80111,0.80124,0.000446,0.000446,0.000446
71,176.598,1.05311,0.77714,0.85571,0.87171,0.84182,0.89278,0.47782,1.38873,0.81345,0.79911,0.00038,0.00038,0.00038
72,179.102,1.14256,0.80764,0.82861,0.89441,0.85841,0.89803,0.48821,1.33266,0.78965,0.79827,0.000314,0.000314,0.000314
73,181.551,1.05125,0.76589,0.82314,0.90726,0.83186,0.88442,0.4891,1.32955,0.77963,0.80212,0.000248,0.000248,0.000248
74,183.951,1.06593,0.76694,0.82716,0.87914,0.83685,0.88115,0.49703,1.3116,0.77293,0.8061,0.000182,0.000182,0.000182
75,186.329,1.05872,0.78561,0.85328,0.87637,0.84956,0.87781,0.50339,1.28865,0.75145,0.80756,0.000116,0.000116,0.000116
