epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,694.881,1.19243,0.82667,1.01086,0.85594,0.84275,0.93264,0.59704,1.21963,0.82812,1.02672,0.002162,0.002162,0.002162
45,710.625,1.18825,0.80332,0.99596,0.89746,0.84837,0.94223,0.62744,1.15728,0.78659,1.03138,0.002096,0.002096,0.002096
46,726.377,1.19843,0.82579,1.00065,0.8959,0.83452,0.93003,0.60373,1.19169,0.82458,1.03768,0.00203,0.00203,0.00203
47,742.329,1.13999,0.78044,0.98327,0.89143,0.87234,0.9513,0.63455,1.15944,0.75037,1.02424,0.001964,0.001964,0.001964
48,757.871,1.1319,0.79367,0.9919,0.87052,0.87943,0.93673,0.61597,1.15591,0.79461,1.0311,0.001898,0.001898,0.001898
49,773.539,1.14787,0.78229,0.97581,0.85848,0.85816,0.92689,0.59427,1.22416,0.79443,1.01941,0.001832,0.001832,0.001832
50,789.031,1.112,0.76926,0.97227,0.92458,0.85816,0.95334,0.63949,1.1573,0.75554,0.99913,0.001766,0.001766,0.001766
51,804.661,1.12214,0.75872,0.96123,0.91312,0.84476,0.94659,0.60994,1.23012,0.76904,1.01997,0.0017,0.0017,0.0017
52,820.297,1.11283,0.75219,0.96286,0.90432,0.88652,0.94981,0.63682,1.16686,0.74331,1.00667,0.001634,0.001634,0.001634
53,835.97,1.12365,0.74203,0.96424,0.89173,0.90544,0.96173,0.63036,1.16702,0.73613,0.9999,0.001568,0.001568,0.001568
54,851.486,1.08899,0.72803,0.96303,0.92216,0.89362,0.96191,0.61883,1.21307,0.75434,1.01164,0.001502,0.001502,0.001502
55,867.064,1.05636,0.71134,0.95411,0.94714,0.9078,0.976,0.63664,1.18712,0.72092,0.99746,0.001436,0.001436,0.001436
56,882.655,1.06142,0.71144,0.95123,0.93281,0.89835,0.9634,0.66479,1.10388,0.70808,0.99404,0.00137,0.00137,0.00137
57,917.53,1.03982,0.69014,0.94416,0.9106,0.91489,0.96713,0.65425,1.11078,0.68619,0.99017,0.001304,0.001304,0.001304
58,933.778,1.03259,0.67632,0.9458,0.93289,0.90071,0.96457,0.64601,1.14817,0.67769,1.00802,0.001238,0.001238,0.001238
59,949.419,1.07626,0.70104,0.94521,0.9352,0.91489,0.96238,0.64727,1.13806,0.70415,0.99588,0.001172,0.001172,0.001172
60,964.941,1.02494,0.67495,0.94478,0.93546,0.91017,0.97163,0.64409,1.1699,0.70519,0.99848,0.001106,0.001106,0.001106
61,980.487,0.99603,0.65286,0.94343,0.90634,0.91512,0.9586,0.65446,1.12594,0.69601,0.98392,0.00104,0.00104,0.00104
62,996.448,1.01597,0.63961,0.92553,0.93391,0.90191,0.96307,0.65898,1.12028,0.68652,0.98338,0.000974,0.000974,0.000974
63,1012.1,0.98869,0.64743,0.93558,0.94037,0.89475,0.95913,0.65281,1.13278,0.70181,0.97599,0.000908,0.000908,0.000908
64,1027.73,0.98801,0.63976,0.92472,0.93411,0.93847,0.97275,0.66174,1.11168,0.66008,0.98429,0.000842,0.000842,0.000842
65,1043.81,0.9674,0.63749,0.92126,0.9393,0.95113,0.97508,0.67047,1.10117,0.65168,0.98066,0.000776,0.000776,0.000776
66,1060.06,0.93958,0.61569,0.91263,0.9235,0.93617,0.97025,0.67858,1.08387,0.64586,0.97235,0.00071,0.00071,0.00071
67,1075.92,0.93195,0.60524,0.91843,0.92088,0.93555,0.96792,0.66957,1.14154,0.64919,0.97429,0.000644,0.000644,0.000644
68,1091.4,0.95805,0.60196,0.92082,0.94485,0.93144,0.97631,0.68592,1.06118,0.62633,0.95773,0.000578,0.000578,0.000578
69,1107.07,0.90119,0.5947,0.90551,0.92117,0.92199,0.96095,0.66357,1.11798,0.64696,0.96058,0.000512,0.000512,0.000512
70,1123.23,0.91026,0.59484,0.90551,0.92014,0.95332,0.97546,0.69211,1.0352,0.62598,0.96247,0.000446,0.000446,0.000446
71,1138.84,0.89106,0.59788,0.90351,0.91961,0.94563,0.96882,0.67568,1.1057,0.62204,0.95881,0.00038,0.00038,0.00038
72,1154.53,0.93321,0.59189,0.90467,0.94034,0.93149,0.97827,0.6922,1.02892,0.62223,0.957,0.000314,0.000314,0.000314
73,1170.27,0.91734,0.58443,0.90834,0.92103,0.93742,0.97073,0.68375,1.07896,0.62125,0.9603,0.000248,0.000248,0.000248
74,1186.03,0.91662,0.5861,0.89984,0.93451,0.94455,0.98031,0.71597,0.98803,0.59287,0.96027,0.000182,0.000182,0.000182
75,1201.64,0.88237,0.56704,0.90555,0.93237,0.94522,0.9764,0.7043,1.03028,0.59592,0.95806,0.000116,0.000116,0.000116
