epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,110.49,1.86619,2.06657,1.01037,0.82318,0.75032,0.79357,0.33327,1.92515,1.97915,1.03314,0.00432689,0.00432689,0.00432689
43,113.032,1.86255,2.0881,1.00624,0.83776,0.77567,0.82132,0.34477,1.9459,2.07636,1.04082,0.00412246,0.00412246,0.00412246
44,115.589,1.85372,2.05354,0.99726,0.85489,0.79341,0.85062,0.37293,1.85114,1.87941,1.02504,0.00391966,0.00391966,0.00391966
45,118.359,1.85942,2.00977,1.01458,0.82605,0.76436,0.81149,0.33458,1.94067,1.9687,1.03703,0.00371885,0.00371885,0.00371885
46,120.881,1.85681,2.0574,0.99688,0.85313,0.79511,0.84679,0.36015,1.85642,1.95822,1.0159,0.00352037,0.00352037,0.00352037
47,123.547,1.84251,2.08231,0.99482,0.86015,0.77952,0.85424,0.39878,1.809,1.85278,1.0204,0.00332457,0.00332457,0.00332457
48,126.155,1.82735,2.03513,1.00023,0.84912,0.74895,0.82114,0.34217,1.93587,1.95546,1.0407,0.0031318,0.0031318,0.0031318
49,128.694,1.82307,1.96921,1.00576,0.85574,0.76679,0.84968,0.37593,1.80249,1.92191,1.01916,0.00294239,0.00294239,0.00294239
50,131.311,1.79712,1.97235,0.9951,0.89505,0.77567,0.86037,0.38681,1.856,1.88166,1.02961,0.00275668,0.00275668,0.00275668
51,133.859,1.81044,2.01644,0.99322,0.85352,0.80989,0.86385,0.39158,1.8299,1.86177,1.02344,0.002575,0.002575,0.002575
52,136.49,1.83895,1.96836,0.99329,0.86618,0.80394,0.86131,0.39298,1.8207,1.75232,1.01704,0.00239766,0.00239766,0.00239766
53,139.064,1.77482,1.93139,0.98807,0.84696,0.78834,0.84514,0.3887,1.82924,1.86612,1.02936,0.00222497,0.00222497,0.00222497
54,141.711,1.78719,1.93375,0.99228,0.87333,0.82003,0.87653,0.39946,1.83725,1.79206,1.02058,0.00205723,0.00205723,0.00205723
55,144.313,1.80128,1.98172,0.98335,0.85508,0.79087,0.84668,0.358,1.88975,1.92315,1.02302,0.00189475,0.00189475,0.00189475
56,146.837,1.77705,1.88988,0.97904,0.87371,0.82383,0.88323,0.39243,1.82438,1.81105,1.01927,0.0017378,0.0017378,0.0017378
57,149.455,1.77001,1.87699,0.97521,0.89264,0.79036,0.86915,0.38922,1.85904,1.78423,1.01965,0.00158667,0.00158667,0.00158667
58,152.121,1.77626,1.88198,0.99505,0.88553,0.79087,0.86448,0.39063,1.81033,1.85395,1.0191,0.00144161,0.00144161,0.00144161
59,154.648,1.76208,1.87721,0.97362,0.86641,0.80557,0.87023,0.40072,1.82003,1.83412,1.01478,0.00130287,0.00130287,0.00130287
