epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,673.095,1.09684,0.72161,0.92566,0.8044,0.82239,0.89749,0.59222,1.15654,0.85304,0.99223,0.0008912,0.0008912,0.0008912
44,688.616,1.0395,0.69458,0.91355,0.84537,0.86873,0.92494,0.57253,1.22184,0.74942,1.02123,0.0008648,0.0008648,0.0008648
45,704.381,1.03179,0.68117,0.91318,0.87335,0.90527,0.95351,0.60347,1.17466,0.7144,0.97164,0.0008384,0.0008384,0.0008384
46,719.899,1.0068,0.67124,0.91018,0.86363,0.88027,0.9459,0.60406,1.13866,0.72374,0.96583,0.000812,0.000812,0.000812
47,735.945,0.99101,0.65927,0.89549,0.87877,0.9112,0.95308,0.59982,1.18402,0.70627,0.96527,0.0007856,0.0007856,0.0007856
48,751.138,0.99538,0.67682,0.90555,0.86262,0.93436,0.95593,0.5936,1.1709,0.71884,0.97236,0.0007592,0.0007592,0.0007592
49,766.882,1.07742,0.69733,0.90099,0.92457,0.88417,0.96005,0.56994,1.26606,0.694,0.9661,0.0007328,0.0007328,0.0007328
50,782.073,1.0187,0.66522,0.89934,0.87306,0.88803,0.94094,0.62624,1.08506,0.66275,0.9684,0.0007064,0.0007064,0.0007064
51,798.127,0.97625,0.64264,0.89223,0.9052,0.88803,0.96062,0.64519,1.09031,0.65785,0.95367,0.00068,0.00068,0.00068
52,813.972,0.92469,0.59795,0.8835,0.90284,0.91892,0.96479,0.66046,1.06092,0.67906,0.93298,0.0006536,0.0006536,0.0006536
53,830.065,0.93638,0.61765,0.8935,0.89384,0.8777,0.94845,0.64287,1.01288,0.66911,0.93776,0.0006272,0.0006272,0.0006272
54,845.195,0.93979,0.61391,0.88042,0.87877,0.89575,0.94284,0.63695,1.07932,0.67792,0.96887,0.0006008,0.0006008,0.0006008
55,861.041,0.92452,0.60271,0.87838,0.91652,0.93258,0.9752,0.67478,1.01897,0.62438,0.943,0.0005744,0.0005744,0.0005744
56,876.514,0.90887,0.59547,0.8846,0.90498,0.88254,0.94162,0.61251,1.0984,0.77642,0.96472,0.000548,0.000548,0.000548
57,892.652,0.90084,0.58784,0.87793,0.88377,0.91013,0.95849,0.65429,1.07854,0.69737,0.96297,0.0005216,0.0005216,0.0005216
58,907.817,0.89904,0.57942,0.87473,0.89328,0.90734,0.95552,0.65651,0.99972,0.63353,0.93918,0.0004952,0.0004952,0.0004952
