epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,146.341,1.70793,0.89948,0.9694,0.87827,0.76426,0.85005,0.39936,1.77844,0.88106,1.00628,0.000865378,0.000865378,0.000865378
43,149.591,1.7148,0.92559,0.96167,0.84934,0.82881,0.86481,0.41461,1.74868,0.90328,0.99064,0.000824492,0.000824492,0.000824492
44,153.186,1.72691,0.92669,0.95885,0.86698,0.80608,0.86658,0.39168,1.82663,0.88402,1.0025,0.000783933,0.000783933,0.000783933
45,156.44,1.71585,0.89345,0.97168,0.87178,0.80145,0.85884,0.38147,1.81693,0.88152,1.00657,0.000743769,0.000743769,0.000743769
46,159.784,1.69993,0.89869,0.95632,0.85515,0.79721,0.84747,0.38671,1.83265,0.88602,1.00006,0.000704073,0.000704073,0.000704073
47,163.376,1.68582,0.91225,0.95741,0.84994,0.81369,0.85276,0.40087,1.75675,0.86816,0.9907,0.000664914,0.000664914,0.000664914
48,166.617,1.69246,0.90381,0.96047,0.88083,0.82442,0.88017,0.40256,1.7368,0.87105,0.99056,0.00062636,0.00062636,0.00062636
49,169.857,1.6848,0.88483,0.96264,0.88886,0.81093,0.86761,0.4013,1.74636,0.85011,0.9883,0.000588479,0.000588479,0.000588479
50,173.206,1.66901,0.88485,0.95794,0.86396,0.83143,0.87778,0.40753,1.74147,0.8537,0.98968,0.000551337,0.000551337,0.000551337
51,176.46,1.67174,0.88156,0.95393,0.85237,0.82763,0.86528,0.39889,1.8078,0.85842,0.99103,0.000515,0.000515,0.000515
52,180.02,1.70243,0.86763,0.9533,0.89379,0.80735,0.87647,0.42184,1.70532,0.8026,0.98318,0.000479531,0.000479531,0.000479531
53,183.605,1.64247,0.85813,0.95375,0.88655,0.81369,0.87494,0.40686,1.72123,0.81759,0.98624,0.000444994,0.000444994,0.000444994
54,186.941,1.65759,0.84603,0.95587,0.87136,0.82256,0.8723,0.40966,1.75942,0.81172,0.99449,0.000411447,0.000411447,0.000411447
55,190.205,1.65028,0.87051,0.94508,0.86822,0.82129,0.8753,0.41296,1.73396,0.83616,0.98881,0.00037895,0.00037895,0.00037895
56,193.454,1.64951,0.855,0.94659,0.87471,0.84058,0.89058,0.41588,1.74409,0.83059,0.99081,0.000347561,0.000347561,0.000347561
57,197.055,1.64044,0.83748,0.93935,0.8776,0.84284,0.89298,0.42136,1.72495,0.81141,0.98262,0.000317333,0.000317333,0.000317333
58,200.743,1.64658,0.84301,0.95584,0.88113,0.82763,0.88767,0.42566,1.7269,0.80736,0.98712,0.000288321,0.000288321,0.000288321
59,204.336,1.62666,0.82694,0.9387,0.87806,0.83397,0.87433,0.40528,1.74777,0.80425,0.9884,0.000260575,0.000260575,0.000260575
60,207.594,1.62178,0.84785,0.94557,0.8804,0.83966,0.87667,0.42147,1.71076,0.79725,0.98812,0.000234143,0.000234143,0.000234143
61,210.837,1.59475,0.81216,0.93732,0.87995,0.83397,0.87354,0.41539,1.71379,0.80969,0.98606,0.000209073,0.000209073,0.000209073
62,214.515,1.62928,0.82432,0.9467,0.8859,0.83649,0.88666,0.43292,1.66979,0.77127,0.9795,0.000185408,0.000185408,0.000185408
63,218.114,1.61964,0.79953,0.94016,0.88652,0.83171,0.88875,0.42575,1.70301,0.80175,0.98273,0.000163189,0.000163189,0.000163189
64,221.343,1.57134,0.78424,0.93455,0.89838,0.8404,0.89244,0.43646,1.66015,0.80279,0.97658,0.000142456,0.000142456,0.000142456
65,224.951,1.59755,0.79668,0.93802,0.8897,0.84157,0.8893,0.43473,1.67462,0.78246,0.98283,0.000123245,0.000123245,0.000123245
66,228.909,1.58228,0.7835,0.93312,0.90918,0.83523,0.90021,0.43907,1.68559,0.78905,0.98167,0.00010559,0.00010559,0.00010559
67,232.859,1.59664,0.78265,0.93727,0.89509,0.83143,0.89825,0.44031,1.68037,0.79625,0.98124,8.95213e-05,8.95213e-05,8.95213e-05
68,236.439,1.58417,0.79106,0.93471,0.90263,0.83415,0.90176,0.43302,1.69523,0.77609,0.98274,7.50674e-05,7.50674e-05,7.50674e-05
69,239.674,1.61085,0.81014,0.93877,0.89177,0.83904,0.89164,0.43328,1.67743,0.79302,0.97875,6.22537e-05,6.22537e-05,6.22537e-05
70,243,1.57443,0.77906,0.92908,0.89745,0.84157,0.89273,0.43054,1.67235,0.78697,0.97697,5.11027e-05,5.11027e-05,5.11027e-05
71,246.244,1.58188,0.78531,0.92919,0.89464,0.8365,0.89059,0.43328,1.67572,0.78853,0.97751,4.16339e-05,4.16339e-05,4.16339e-05
72,249.808,1.61348,0.79087,0.94037,0.90123,0.83262,0.89374,0.43417,1.67182,0.77192,0.9799,3.38639e-05,3.38639e-05,3.38639e-05
73,253.063,1.59248,0.80176,0.9417,0.89885,0.83342,0.89709,0.42996,1.67339,0.77461,0.97957,2.78064e-05,2.78064e-05,2.78064e-05
74,256.298,1.58416,0.78686,0.94169,0.89218,0.83901,0.89089,0.43023,1.67741,0.78417,0.97999,2.34721e-05,2.34721e-05,2.34721e-05
75,259.644,1.58717,0.79591,0.93668,0.88774,0.84284,0.8918,0.43419,1.67661,0.77213,0.97804,2.08684e-05,2.08684e-05,2.08684e-05
